<<<<<<< HEAD
0,1,2,3,4,5,6,7,class
1,0.1914893617,0.2053571429,0.0530973451,0.0243123336,0.0212049815,0.0177748519,0.0206935123,0
1,0.2482269504,0.2232142857,0.0530973451,0.0303460515,0.0191854594,0.0296247531,0.0302013423,0
0,0.6595744681,0.6339285714,0.1283185841,0.2977817214,0.2776842814,0.2554312047,0.2427293065,0
0.5,0.6312056738,0.6071428571,0.1238938053,0.2649511979,0.2356109054,0.2409479921,0.2220357942,0
0,0.7092198582,0.7053571429,0.1548672566,0.4388642413,0.3645237294,0.3903884134,0.3825503356,0
1,0.6028368794,0.5803571429,0.1327433628,0.2017746229,0.2403231235,0.1770901909,0.2483221477,0
0,0.2624113475,0.2410714286,0.0796460177,0.0463176575,0.0306294177,0.0599078341,0.0525727069,0
0.5,0.7659574468,0.8125,0.1637168142,0.5314995563,0.4402558061,0.448321264,0.4776286353,0
0,0.8865248227,0.8571428571,0.185840708,0.7905944987,0.7862672501,0.6089532587,0.591163311,0
1,0.219858156,0.1875,0.0530973451,0.0298136646,0.0215415685,0.0322580645,0.024049217,0
0.5,0.6170212766,0.5267857143,0.1327433628,0.3941437445,0.3635139684,0.3212639895,0.3148769575,0
0.5,0.7163120567,0.6964285714,0.1415929204,0.441703638,0.392123864,0.3410138249,0.3657718121,0
1,0.5460992908,0.5267857143,0.110619469,0.2047914818,0.1837765062,0.1619486504,0.1812080537,0
0.5,0.6170212766,0.5803571429,0.1415929204,0.2709849157,0.1814203972,0.1909150757,0.3059284116,0
1,0.3475177305,0.2946428571,0.0707964602,0.0635314996,0.0508246382,0.0658327847,0.0615212528,0
0.5,0.7730496454,0.7589285714,0.1592920354,0.4983141083,0.4153483676,0.3265306122,0.5525727069,0
0,0.6453900709,0.625,0.1637168142,0.3197870453,0.2298889263,0.3054641211,0.2818791946,0
0,0.695035461,0.6607142857,0.1371681416,0.3377107365,0.2982160889,0.2481895984,0.3266219239,0
0.5,0.5531914894,0.5178571429,0.1238938053,0.222715173,0.1847862673,0.1876234365,0.1963087248,0
0,0.7446808511,0.7232142857,0.1504424779,0.4832298137,0.4405923931,0.4015799868,0.4049217002,0
1,0.5673758865,0.5625,0.1061946903,0.2136645963,0.1524739145,0.1718235681,0.25950783,0
0,0.6595744681,0.6339285714,0.1283185841,0.3080745342,0.2537866038,0.2119815668,0.2986577181,0
1,0.6241134752,0.5625,0.1327433628,0.2369121562,0.2012790306,0.1922317314,0.2315436242,0
