0,1,2,3,4,5,6,7,class
0.5,0.5888888889,0.5972222222,0.6222222222,0.3981655691,0.3474347435,0.5606242497,0.3307692308,0
1,0.5888888889,0.5555555556,0.5333333333,0.3276105362,0.2934293429,0.3733493397,0.3015384615,0
0.5,0.6555555556,0.6666666667,0.6,0.4830667921,0.5108010801,0.5030012005,0.3253846154,0
0.5,0.5555555556,0.4444444444,0.6,0.4677798683,0.4473447345,0.5162064826,0.3761538462,0
1,0.4333333333,0.4444444444,0.4666666667,0.2196613358,0.202970297,0.1992797119,0.2115384615,0
0,0.4888888889,0.3472222222,0.6222222222,0.3755879586,0.3357335734,0.4045618247,0.3584615385,0
0,0.2,0.2083333333,0.3555555556,0.0545625588,0.0387038704,0.0708283313,0.0692307692,0
0.5,0.6222222222,0.5694444444,0.6222222222,0.3158513641,0.2727272727,0.3913565426,0.2769230769,0
0,0.3666666667,0.3472222222,0.4888888889,0.1846190028,0.1287128713,0.2040816327,0.2230769231,0
1,0.4555555556,0.4722222222,0.5555555556,0.2340075259,0.2223222322,0.218487395,0.2384615385,0
0,0.4555555556,0.5,0.5555555556,0.2311853246,0.1759675968,0.2545018007,0.2538461538,0
0.5,0.7111111111,0.6805555556,0.6222222222,0.4515522107,0.4887488749,0.430972389,0.3169230769,0
0.5,0.7666666667,0.875,0.7111111111,0.6806208843,0.5234023402,0.5798319328,0.6692307692,1
0,0.5666666667,0.5138888889,0.5111111111,0.3511288805,0.3600360036,0.4369747899,0.2661538462,0
0.5,0.2666666667,0.2777777778,0.4444444444,0.1041862653,0.0855085509,0.1128451381,0.1076923077,0
1,0.5222222222,0.5277777778,0.4222222222,0.2119002822,0.1863186319,0.2256902761,0.2292307692,0
1,0.5222222222,0.5555555556,0.5111111111,0.3090310442,0.3105310531,0.4105642257,0.2692307692,0
0.5,0.3444444444,0.375,0.4,0.1634524929,0.1422142214,0.1536614646,0.1676923077,0
0.5,0.4333333333,0.4444444444,0.6444444444,0.2502351834,0.1800180018,0.3397358944,0.2538461538,0
0,0.3888888889,0.4027777778,0.4666666667,0.2142521167,0.2227722772,0.4741896759,0.1538461538,0
1,0.5333333333,0.625,0.5333333333,0.2841015992,0.2151215122,0.3721488595,0.3461538462,0
0,0.4666666667,0.5,0.4222222222,0.23565381,0.2335733573,0.3133253301,0.2076923077,0
0.5,0.6333333333,0.6388888889,0.6222222222,0.3351364064,0.2425742574,0.2617046819,0.4307692308,1
0.5,0.4888888889,0.4722222222,0.5333333333,0.1843838194,0.1404140414,0.2460984394,0.1876923077,0
1,0.4555555556,0.4166666667,0.5777777778,0.2142521167,0.1741674167,0.2593037215,0.2230769231,0
0.5,0.9111111111,0.875,0.8444444444,0.7681091251,0.702970297,0.9303721489,0.6476923077,0
1,0.5777777778,0.5555555556,0.5777777778,0.3134995296,0.2727272727,0.3529411765,0.2846153846,0
0.5,0.6222222222,0.6666666667,0.7111111111,0.458607714,0.3852385239,0.4141656663,0.4769230769,0
0,0.6444444444,0.6805555556,0.5777777778,0.3915804327,0.3213321332,0.4969987995,0.3461538462,0
1,0.6222222222,0.6111111111,0.6444444444,0.3732361242,0.3640864086,0.393757503,0.3076923077,0
0.5,0.6777777778,0.7222222222,0.5777777778,0.3066792098,0.2781278128,0.3097238896,0.3061538462,0
1,0.4888888889,0.4861111111,0.4888888889,0.2203668862,0.197569757,0.2112845138,0.1969230769,0
0,0.7,0.7222222222,0.6888888889,0.5442144873,0.49639964,0.6578631453,0.4461538462,0
0,0.6333333333,0.6527777778,0.6,0.4198024459,0.400990099,0.4597839136,0.3461538462,0
0,0.4888888889,0.4027777778,0.4444444444,0.2307149577,0.2664266427,0.3013205282,0.1630769231,0
1,0.3222222222,0.2222222222,0.4444444444,0.119943556,0.104860486,0.1476590636,0.1076923077,0
0,0.6444444444,0.6666666667,0.6,0.4026340546,0.3474347435,0.5402160864,0.3184615385,0
0,0.5555555556,0.5277777778,0.5555555556,0.3273753528,0.3744374437,0.2340936375,0.2738461538,0
0.5,0.7333333333,0.7361111111,0.6222222222,0.4661335842,0.3946894689,0.5942376951,0.4146153846,0
0.5,0.7222222222,0.6944444444,0.6,0.390639699,0.3685868587,0.3769507803,0.3646153846,0
1,0.6555555556,0.625,0.4888888889,0.3461900282,0.3523852385,0.2929171669,0.3153846154,0
0.5,0.6222222222,0.6944444444,0.6444444444,0.3626528692,0.2835283528,0.4597839136,0.3553846154,0
0.5,0.4444444444,0.5138888889,0.4888888889,0.2970366886,0.2610261026,0.2388955582,0.2676923077,0
0,0.1777777778,0.1805555556,0.3777777778,0.0714957667,0.0648064806,0.0648259304,0.0692307692,0
0,0.3555555556,0.3194444444,0.5333333333,0.1589840075,0.1098109811,0.3085234094,0.1230769231,0
1,0.4666666667,0.4305555556,0.5333333333,0.1949670743,0.197119712,0.1572629052,0.1923076923,0
