1,2,3,4,5,class
92,2,1,1,2,0
10,2,1,3,2,0
83,3,1,4,1,1
61,2,4,2,2,1
107,1,1,3,4,1
113,1,1,3,2,0
80,3,1,3,2,0
125,3,4,2,4,1
36,2,2,1,1,0
105,3,2,1,1,0
81,1,2,1,1,0
122,2,2,3,4,1
94,1,1,2,1,0
60,2,1,2,2,0
8,2,4,1,4,1
20,1,1,3,3,0
85,3,2,1,2,0
50,1,2,1,1,0
68,3,3,2,1,0
89,3,1,3,2,0
52,1,2,2,1,0
19,3,2,1,3,0
118,2,1,2,1,0
16,3,2,1,3,0
91,2,3,2,1,0
79,3,2,2,1,0
23,3,2,1,3,0
25,2,1,2,2,0
30,1,1,3,2,0
57,3,2,1,1,0
3,1,4,1,1,1
114,2,2,1,3,0
37,1,2,1,3,0
66,1,1,1,2,0
110,2,4,3,1,1
116,3,1,2,2,0
88,1,1,2,2,0
77,3,2,2,1,0
82,1,2,1,2,0
64,3,4,3,2,1
84,2,2,2,1,0
86,2,2,1,2,0
6,3,2,1,3,0
74,3,2,1,1,0
106,3,1,2,1,0
115,1,2,1,3,0
130,2,1,1,2,0
54,1,1,1,2,0
33,1,2,2,3,0
67,3,3,1,1,0
69,3,3,3,1,0
39,3,2,1,2,0
53,3,2,1,2,0
127,3,1,2,1,0
96,1,1,1,2,0
121,2,1,3,2,0
70,2,2,2,1,0
123,2,1,2,1,0
42,2,2,1,3,0
78,2,1,2,2,0
11,1,2,4,2,1
129,2,2,1,2,0
128,1,1,2,4,1
5,1,3,2,1,0
4,2,4,4,2,1
95,2,3,2,1,0
73,3,1,2,2,0
26,1,1,2,2,0
48,1,3,2,4,1
104,1,1,2,2,0
102,3,1,4,2,1
2,2,1,3,2,0
41,1,1,3,2,0
119,3,1,3,2,0
75,1,2,4,4,1
47,1,4,2,1,1
93,2,1,2,1,0
46,3,4,1,2,1
132,2,2,1,1,0
108,1,1,2,1,0
18,2,2,4,3,1
62,3,1,2,2,0
120,1,1,3,2,0
35,1,2,1,3,0
27,1,4,4,1,1
98,3,3,3,2,0
109,2,2,1,3,0
31,3,3,2,1,0
112,1,1,1,3,0
34,2,2,1,2,0
63,2,2,2,1,0
65,2,3,2,3,0
117,1,3,2,1,0
56,2,2,1,2,0
59,1,1,1,2,0
76,3,2,2,1,0
1,3,2,1,1,0
28,1,1,2,1,0
22,3,1,4,4,1
29,3,3,2,1,0
111,2,3,2,1,0
97,2,1,3,1,0
49,1,2,1,2,0
51,3,1,1,2,0
87,2,2,4,1,1
58,1,2,2,1,0
32,2,3,2,1,0
72,2,2,1,4,1
55,1,4,2,3,1
103,2,2,1,1,0
7,1,2,1,1,0
99,2,2,3,2,0
15,1,3,2,1,0
126,3,1,2,1,0
45,3,1,1,2,0
101,3,3,1,4,1
100,2,3,4,1,1
24,1,2,3,3,0
124,3,3,2,2,0
13,3,3,4,2,1
14,1,2,2,1,0
38,2,1,1,4,1
71,3,1,2,2,0
43,3,2,2,4,1
131,2,3,1,3,0
17,2,1,1,2,0
12,3,4,1,3,1
44,1,1,4,3,1
40,2,1,2,1,0
90,1,2,1,2,0
21,1,2,2,1,0
9,3,1,1,2,0
1,1,1,2,1,0
1,1,2,1,1,0
1,2,1,1,1,0
1,1,1,3,1,0
1,1,3,1,1,0
1,3,1,1,1,0
1,1,3,3,1,0
1,3,1,3,1,0
1,3,3,1,1,0
1,2,2,1,2,0
1,2,1,2,2,0
1,1,2,2,2,0
1,2,2,3,2,0
1,2,3,2,2,0
1,3,2,2,2,0
1,2,3,3,2,0
1,3,2,3,2,0
1,3,3,2,2,0
1,1,3,2,1,0
1,3,2,1,2,0
1,2,1,3,1,0
1,2,3,1,2,0
1,1,2,3,1,0
1,3,1,2,2,0
1,1,1,1,1,0
1,2,2,2,2,0
1,3,3,3,1,0
1,4,4,4,3,1
