0,1,2,3,4,5,6,7,class
0.1428571429,0.4522613065,0.6557377049,0.1414141414,0.0650118203,0.3636363636,0.0759662372,0.05,0
0.1428571429,0.5326633166,0.5245901639,0.3535353535,0.1406619385,0.4545454545,0.5872945358,0.2166666667,0
0.1428571429,0.6130653266,0.4918032787,0.1818181818,0.1252955083,0.4441132638,0.2838738339,0.0166666667,0
0.5714285714,0.9748743719,0.6557377049,0,0,0.3889716841,0.2101288316,0.7666666667,0
0.2857142857,0.5728643216,0.5327868852,0,0,0.3263785395,0.1572634385,0.2666666667,0
0.0714285714,0.6030150754,0.6557377049,0.4848484848,0.2364066194,0.5797317437,0.4815637494,0.3333333333,0
0,0.4221105528,0.5245901639,0.2222222222,0.0780141844,0.5335320417,0.2074633496,0,0
0.8571428571,0.608040201,0.6393442623,0.1717171717,0,0.3949329359,0.0804087072,0.6833333333,0
0.2857142857,0.783919598,0.6147540984,0,0,0.7198211624,0.0710795202,0.1833333333,1
0.2142857143,0.5577889447,0.4590163934,0.3939393939,0,0.4485842027,0.2127943136,0.15,0
0.0714285714,0.9849246231,0.6229508197,0.3636363636,0.2943262411,0.5439642325,0.3540648601,0.1333333333,1
0.2142857143,0.4472361809,0.606557377,0.1616161616,0.1004728132,0.4530551416,0.2101288316,0.2833333333,0
0.1428571429,0.4120603015,0.4262295082,0.2222222222,0.1359338061,0.4247391952,0.7201243892,0.0666666667,0
0.2857142857,0.6281407035,0.5737704918,0.1818181818,0.1442080378,0.4307004471,0.4735673034,0.4,1
0.5,0.4170854271,0.6393442623,0.2626262626,0.0839243499,0.436661699,0.3060861839,0.25,0
0,0.4773869347,0.5245901639,0.3939393939,0.1241134752,0.6646795827,0.1279431364,0.0166666667,0
0.2857142857,0.4773869347,0.5245901639,0,0,0.476900149,0.0368725011,0.1666666667,1
0,0.7336683417,0.6721311475,0,0,0.6035767511,0.7565526433,0.3833333333,0
0,0.5125628141,0.6147540984,0.2323232323,0,0,0.2194580187,0,0
0.5,0.8090452261,0.7049180328,0,0,0.4530551416,0.0386494891,0.4333333333,1
0.7857142857,0.6934673367,0.606557377,0.2626262626,0.170212766,0.5380029806,0.2127943136,0.4833333333,1
0.4285714286,0.5125628141,0.737704918,0.3939393939,0,0.5320417288,0.2647712128,0.1166666667,0
0.3571428571,0.7939698492,0.5737704918,0,0,0.4441132638,0.0573078632,0.7,0
