0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,class
0.7209302326,0.9230769231,0.8571428571,0.396039604,0.1012658228,0.1,0.7947019868,0.0606060606,0.75,0.7794117647,0.7133757962,0.7629987908,0.7547169811,0.2647058824,0.3181818182,0.275,0.3666666667,0.2,0
0.3953488372,0.5384615385,0.5857142857,0.301980198,0.164556962,0.1,0.3509933775,0.4242424242,0.25,0.4264705882,0.4203821656,0.2732769045,0.5786163522,0.2058823529,0.5454545455,0.1,0.3666666667,0.3666666667,0
0.511627907,0.2307692308,0.3714285714,0.1584158416,0.1139240506,0.12,0.1125827815,0.7878787879,0.0833333333,0.3823529412,0.178343949,0.0725513906,0.1572327044,0.1911764706,0.1818181818,0.25,0.3333333333,0.2,1
0.3488372093,0.2307692308,0.5857142857,0.3267326733,0.164556962,0.12,0.3841059603,0.3636363636,0.3333333333,0.2352941176,0.4203821656,0.3071342201,0.2704402516,0.1911764706,0,0.25,0.4,0.4333333333,0
0.4418604651,0.4615384615,0.5428571429,0.4059405941,0.1898734177,0.1,0.3311258278,0.4242424242,0.25,0.3970588235,0.3630573248,0.2599758162,0.4339622642,0.0882352941,0.5,0.45,0.7666666667,0.7666666667,0
0.6976744186,0.7692307692,0.8,0.2475247525,0,0.04,0.8145695364,0.0606060606,0.75,0.6764705882,0.8407643312,0.7823458283,0.7106918239,0.3382352941,0.1818181818,0.425,0.3,0.1,0
0.3720930233,0.1153846154,0.5142857143,0.301980198,0.1265822785,0.12,0.2582781457,0.5151515152,0.1666666667,0.1470588235,0.2420382166,0.1910519952,0.0943396226,0.0147058824,0.1818181818,0.475,0.9,1,0
0.2558139535,0.2307692308,0.4,0.2178217822,0.1772151899,0.1,0.1920529801,0.6060606061,0.0833333333,0.2647058824,0.2101910828,0.1402660218,0.2012578616,0.1470588235,0.0454545455,0.05,0.5333333333,0.6,0
0.3953488372,0.5,0.5714285714,0.202970297,0.1392405063,0.18,0.298013245,0.5151515152,0.25,0.6176470588,0.3121019108,0.2176541717,0.5031446541,0.2647058824,0.0909090909,0.1,0.2333333333,0.4333333333,1
0.6046511628,0.8461538462,0.8428571429,0.5396039604,0.253164557,0.2,0.7152317881,0.1212121212,0.6666666667,0.8676470588,0.6050955414,0.638452237,0.6540880503,0.1764705882,0.0909090909,0.525,0.3666666667,0.6,0
0.2093023256,0.4615384615,0.5428571429,0.2475247525,0.2151898734,0.14,0.2185430464,0.5757575758,0.1666666667,0.4411764706,0.2420382166,0.1608222491,0.4088050314,0.1764705882,0.0454545455,0.1,0.4,0.6,1
0.3255813953,0.5,0.4428571429,0.1633663366,0.1392405063,0.18,0.3112582781,0.5151515152,0.25,0.5882352941,0.2484076433,0.2200725514,0.4842767296,0.25,0,0.225,0.2,0.4,1
0.7674418605,0.7692307692,0.8714285714,0.5247524752,0.2025316456,0.18,0.6953642384,0.1212121212,0.6666666667,0.7941176471,0.6242038217,0.6239419589,0.6477987421,0.1764705882,0.2727272727,0.075,0.4,0.6,0
0.1395348837,0.4230769231,0.4285714286,0.1584158416,0.1772151899,0.1,0.2185430464,0.6060606061,0.1666666667,0.3676470588,0.2675159236,0.1523579202,0.465408805,0.3235294118,0.2727272727,0.425,0.1666666667,0.1333333333,0
0.2325581395,0.4615384615,0.4142857143,0.3267326733,0.2911392405,0.08,0.2119205298,0.5757575758,0.1666666667,0.4117647059,0.2611464968,0.1571946796,0.5031446541,0.1764705882,0.4545454545,0.2,0.3666666667,0.3333333333,0
0.488372093,0.1538461538,0.5142857143,0.3811881188,0.1898734177,0.12,0.3112582781,0.4545454545,0.25,0.1911764706,0.3248407643,0.2394195889,0.0503144654,0.0441176471,0.0909090909,0.7,0.9,1,0
0.6511627907,0.8461538462,0.9,0.5544554455,0.2658227848,0.18,0.6026490066,0.1818181818,0.5,0.75,0.5732484076,0.5223700121,0.6729559748,0.1764705882,0.4090909091,0.45,0.4333333333,0.5,0
0.2093023256,0.2307692308,0.5,0.2326732673,0.1518987342,0.12,0.238410596,0.5757575758,0.1666666667,0.2352941176,0.2866242038,0.169286578,0.1509433962,0.2058823529,0,0.4,0.2666666667,0.4,0
0.4186046512,0.5,0.7,0.3514851485,0.2911392405,0.2,0.2847682119,0.5151515152,0.25,0.5441176471,0.2611464968,0.2019347037,0.5220125786,0.1470588235,0.6818181818,0.525,0.4666666667,0.6333333333,1
0.7906976744,0.7692307692,0.8857142857,0.5891089109,0.2405063291,0.16,0.642384106,0.1818181818,0.5833333333,0.6764705882,0.5859872611,0.5659008464,0.6352201258,0.1176470588,0.2272727273,0.4,0.4666666667,0.7333333333,0
0.3720930233,0.2692307692,0.2857142857,0.198019802,0.1518987342,0.12,0.0860927152,0.7878787879,0,0.3088235294,0.1146496815,0.0604594921,0.2578616352,0.0441176471,0.5909090909,0.025,0.9333333333,0.9666666667,1
0.488372093,0.4230769231,0.7571428571,0.4851485149,0.2405063291,0.14,0.4900662252,0.2727272727,0.4166666667,0.3823529412,0.5414012739,0.4050785973,0.4150943396,0.1911764706,0.6818181818,0.275,0.4666666667,0.5333333333,0
0.6279069767,0.6153846154,0.9285714286,0.3712871287,0.0886075949,0.2,0.6225165563,0.1818181818,0.5833333333,0.6029411765,0.5286624204,0.5477629988,0.465408805,0.1029411765,0.0454545455,0.3,0.5,0.6333333333,0
0.3255813953,0.5384615385,0.4428571429,0.1584158416,0.1392405063,0.18,0.3112582781,0.4848484848,0.25,0.5147058824,0.2611464968,0.2237001209,0.4779874214,0.2647058824,0.5,0.2,0.2333333333,0.3333333333,1
0.488372093,0.5769230769,0.7428571429,0.4653465347,0.2025316456,0.14,0.4437086093,0.303030303,0.3333333333,0.5441176471,0.4394904459,0.3663845224,0.5031446541,0.0735294118,0.9090909091,0.275,0.7666666667,0.7333333333,0
0.3023255814,0.3076923077,0.4857142857,0.3910891089,0.3291139241,0.1,0.2847682119,0.4848484848,0.1666666667,0.2647058824,0.3184713376,0.2200725514,0.2767295597,0.2205882353,0.3636363636,0.3,0.5,0.4666666667,0
0.7441860465,0.6923076923,0.8714285714,0.4603960396,0.164556962,0.18,0.642384106,0.1515151515,0.5833333333,0.6176470588,0.5796178344,0.5683192261,0.4905660377,0.1176470588,0.3181818182,0.075,0.4666666667,0.6333333333,0
0.2093023256,0.1923076923,0.4714285714,0.1386138614,0.0886075949,0.1,0.2185430464,0.6060606061,0.1666666667,0.1911764706,0.2547770701,0.15356711,0.2264150943,0.2352941176,0.3181818182,0.625,0.2333333333,0.2333333333,0
0.5581395349,0.9230769231,0.9285714286,0.5099009901,0.2025316456,0.18,0.7483443709,0.1212121212,0.6666666667,0.9117647059,0.6560509554,0.6831922612,0.6037735849,0.1911764706,0.2727272727,0.475,0.3333333333,0.5666666667,0
0.1860465116,0.2307692308,0.6857142857,0.3762376238,0.164556962,0.1,0.417218543,0.3333333333,0.3333333333,0.1911764706,0.4968152866,0.3361547763,0.2264150943,0.1764705882,0.1818181818,0.95,0.4666666667,0.5666666667,0
0.2093023256,0.4615384615,0.4,0.1287128713,0.1392405063,0.12,0.2450331126,0.5757575758,0.1666666667,0.4117647059,0.2547770701,0.1729141475,0.4905660377,0.2941176471,0.0909090909,0.125,0.1666666667,0.1666666667,0
0.3023255814,0.1153846154,0.5,0.3366336634,0.1898734177,0.12,0.2847682119,0.4848484848,0.1666666667,0.1029411765,0.2738853503,0.2128174123,0.106918239,0.0588235294,0.2272727273,0.55,0.7333333333,0.8,0
0.1395348837,0.1538461538,0.3428571429,0.1089108911,0.0886075949,0.1,0.119205298,0.7878787879,0.0833333333,0.1323529412,0.1082802548,0.0737605804,0.2075471698,0.1911764706,0.7727272727,0.175,0.2333333333,0.2,0
0.4651162791,0.4230769231,0.6142857143,0.3069306931,0.2405063291,0.16,0.2715231788,0.5151515152,0.1666666667,0.4705882353,0.2292993631,0.1983071342,0.3144654088,0.1176470588,0.1363636364,0.25,0.5333333333,0.7,1
0.511627907,0.5769230769,0.8428571429,0.4900990099,0.2278481013,0.14,0.5496688742,0.2121212121,0.5,0.5,0.5414012739,0.4752116082,0.4088050314,0.1323529412,0.0909090909,0.125,0.4333333333,0.5333333333,0
0.3023255814,0.5384615385,0.5571428571,0.2128712871,0.2151898734,0.18,0.2781456954,0.5454545455,0.25,0.6617647059,0.2484076433,0.1946795647,0.4968553459,0.25,0.2727272727,0.325,0.2666666667,0.4,1
0.6046511628,0.4615384615,0.6142857143,0.4405940594,0.2151898734,0.08,0.5165562914,0.2121212121,0.4166666667,0.4117647059,0.5477707006,0.4582829504,0.3396226415,0.25,0.2727272727,0.175,0.6333333333,0.4,0
0.6511627907,0.6538461538,0.9142857143,0.5198019802,0.2405063291,0.16,0.6158940397,0.1818181818,0.5,0.5882352941,0.5859872611,0.5368802902,0.6981132075,0.2058823529,0.6363636364,0.225,0.4,0.5,0
0.6511627907,0.9230769231,0.8714285714,0.5544554455,0.2784810127,0.18,0.6953642384,0.1212121212,0.6666666667,0.8529411765,0.6178343949,0.6251511487,0.6918238994,0.2058823529,0.1818181818,0.075,0.3333333333,0.5,0
0.7441860465,0.8846153846,0.8714285714,0.6435643564,0.3291139241,0.16,0.7086092715,0.1212121212,0.6666666667,0.8235294118,0.6433121019,0.6372430472,0.6603773585,0.2058823529,0.3636363636,0.075,0.3666666667,0.5333333333,0
0.3023255814,0.4230769231,0.4,0.1633663366,0.1392405063,0.08,0.1456953642,0.696969697,0.0833333333,0.4117647059,0.2356687898,0.0991535671,0.358490566,0.2794117647,0.4545454545,0.075,0.3333333333,0.2,1
0.3488372093,0.1538461538,0.4857142857,0.1683168317,0.1012658228,0.12,0.119205298,0.7575757576,0.0833333333,0.25,0.1656050955,0.0785973398,0.0943396226,0.1470588235,0,0.3,0.5,0.3666666667,1
0.488372093,0.8461538462,0.7714285714,0.3267326733,0.0886075949,0.16,0.6754966887,0.1515151515,0.5833333333,0.8088235294,0.5605095541,0.5973397823,0.6855345912,0.2352941176,0,0.1,0.2666666667,0.4,0
0.3953488372,0.0384615385,0.4285714286,0.198019802,0.1139240506,0.08,0.1258278146,0.7272727273,0.0833333333,0.0735294118,0.1719745223,0.0870616687,0.1006289308,0.0588235294,0.2272727273,0.5,0.8,0.8333333333,0
0.3720930233,0.7307692308,0.7285714286,0.495049505,0.253164557,0.14,0.4966887417,0.2727272727,0.4166666667,0.6323529412,0.5286624204,0.4171704958,0.8238993711,0.1911764706,0.0909090909,0.125,0.4,0.4666666667,0
0.1860465116,0.5384615385,0.4714285714,0.2425742574,0.2151898734,0.08,0.2649006623,0.5151515152,0.1666666667,0.3970588235,0.2802547771,0.1970979444,0.4716981132,0.2352941176,0,0.075,0.3,0.3666666667,0
0.7441860465,0.6153846154,0.9571428571,0.495049505,0.1772151899,0.18,0.6490066225,0.1515151515,0.5833333333,0.6029411765,0.6242038217,0.5731559855,0.6666666667,0.1764705882,0.7272727273,0.275,0.4666666667,0.6,0
0.4651162791,0.2692307692,0.5142857143,0.3267326733,0.1392405063,0.1,0.3973509934,0.3636363636,0.3333333333,0.3088235294,0.4203821656,0.3192261185,0.320754717,0.1323529412,0.1363636364,0.725,0.5,0.6333333333,0
0.3488372093,0.2692307692,0.5857142857,0.3069306931,0.164556962,0.12,0.3046357616,0.4545454545,0.25,0.2205882353,0.3694267516,0.2321644498,0.2893081761,0.1911764706,0.2272727273,0.175,0.3333333333,0.3333333333,0
0.2790697674,0.4230769231,0.6142857143,0.1732673267,0.1139240506,0.18,0.2847682119,0.5151515152,0.25,0.5441176471,0.2866242038,0.207980653,0.4150943396,0.25,0.2272727273,0.4,0.2666666667,0.4666666667,1
0.3023255814,0.4230769231,0.4,0.2673267327,0.2151898734,0.08,0.178807947,0.6363636364,0.0833333333,0.3676470588,0.2101910828,0.130592503,0.4025157233,0.1029411765,0.4090909091,0.275,0.5666666667,0.6,0
0.6279069767,0.8461538462,0.8285714286,0.4455445545,0.1898734177,0.18,0.6490066225,0.1515151515,0.5833333333,0.8382352941,0.5477707006,0.5743651753,0.6918238994,0.2058823529,0.4545454545,0.35,0.3666666667,0.4333333333,0
0.5581395349,0.1153846154,0.4428571429,0.4702970297,0.3291139241,0.08,0.3178807947,0.4242424242,0.25,0.1323529412,0.3694267516,0.253929867,0.1006289308,0.1911764706,0.2727272727,0.475,0.8,0.7666666667,0
0.7674418605,0.8461538462,0.7714285714,0.4306930693,0.1265822785,0.08,0.8410596026,0.0606060606,0.75,0.7647058824,0.8662420382,0.8053204353,0.8364779874,0.3823529412,0.3636363636,0.225,0.2666666667,0.1,0
0.7441860465,0.9230769231,0.9142857143,0.3613861386,0.0506329114,0.06,0.940397351,0,0.9166666667,0.7647058824,0.9808917197,0.9371221282,0.9559748428,0.4117647059,0.5,0.05,0.2,0,0
0.3953488372,0.1538461538,0.4,0.1089108911,0.0632911392,0.14,0.0860927152,0.8181818182,0.0833333333,0.2794117647,0.1592356688,0.0568319226,0.0628930818,0.1764705882,0.0909090909,0.325,0.5,0.3,1
0.4186046512,0.3846153846,0.5714285714,0.1584158416,0.0886075949,0.16,0.2715231788,0.5151515152,0.1666666667,0.4558823529,0.2866242038,0.2031438936,0.3270440252,0.2205882353,0.0454545455,0.15,0.3333333333,0.5333333333,1
0.6046511628,0.5769230769,0.9,0.5445544554,0.2151898734,0.16,0.5761589404,0.2121212121,0.5,0.5,0.5286624204,0.4945586457,0.4339622642,0.0735294118,0,0.625,0.5333333333,0.7666666667,0
0.3023255814,0.3461538462,0.4,0.2178217822,0.1898734177,0.1,0.2185430464,0.5757575758,0.1666666667,0.3676470588,0.2866242038,0.1596130593,0.2767295597,0.25,0.0909090909,0.15,0.3333333333,0.2666666667,0
0.5813953488,0.7692307692,0.7,0.4455445545,0.2278481013,0.08,0.5960264901,0.1818181818,0.5,0.6323529412,0.6369426752,0.53808948,0.6603773585,0.2794117647,0.2272727273,0.35,0.5333333333,0.3666666667,0
0.2790697674,0.5,0.4571428571,0.3316831683,0.2658227848,0.08,0.2516556291,0.5151515152,0.1666666667,0.4411764706,0.3121019108,0.1910519952,0.5220125786,0.1764705882,0.2272727273,0.275,0.4333333333,0.4666666667,0
0.511627907,0.1923076923,0.5142857143,0.4306930693,0.2278481013,0.12,0.3642384106,0.3939393939,0.25,0.2647058824,0.4203821656,0.2889963724,0.2012578616,0.1176470588,0.4090909091,0.5,0.5333333333,0.6,0
0.6976744186,0.7692307692,0.8,0.4900990099,0.2025316456,0.18,0.701986755,0.1212121212,0.6666666667,0.7205882353,0.6178343949,0.6275695284,0.6603773585,0.1764705882,0.4545454545,0.6,0.4,0.5333333333,0
0.1860465116,0.4230769231,0.5,0.2277227723,0.1518987342,0.06,0.2516556291,0.5454545455,0.1666666667,0.3676470588,0.2802547771,0.1850060459,0.427672956,0.2647058824,0.3636363636,0.05,0.2333333333,0.2,0
0.2325581395,0.4230769231,0.5,0.2524752475,0.164556962,0.1,0.2516556291,0.5454545455,0.1666666667,0.3382352941,0.2738853503,0.1862152358,0.3270440252,0.1911764706,0.4090909091,0,0.3666666667,0.3666666667,0
0.2093023256,0.3846153846,0.3428571429,0.0940594059,0.1139240506,0.08,0.2251655629,0.6060606061,0.1666666667,0.3970588235,0.2229299363,0.1547762999,0.3899371069,0.3823529412,0.2727272727,0.275,0.1,0.0333333333,0
0.2325581395,0.1153846154,0.3428571429,0.1188118812,0.1265822785,0.12,0.1125827815,0.7878787879,0.0833333333,0.1323529412,0.1082802548,0.0737605804,0.1886792453,0.25,0.2272727273,0.675,0.2333333333,0.2,0
0.488372093,0.5384615385,0.6571428571,0.3910891089,0.164556962,0.1,0.5496688742,0.2121212121,0.5,0.4411764706,0.5286624204,0.4897218863,0.5786163522,0.2205882353,0.3636363636,0,0.5333333333,0.3333333333,0
0.3488372093,0.3461538462,0.5571428571,0.4405940594,0.2784810127,0.06,0.3642384106,0.3636363636,0.25,0.2794117647,0.3375796178,0.2938331318,0.2955974843,0.1323529412,0.1363636364,0.575,0.7333333333,0.7666666667,0
0.7674418605,0.5769230769,0.9285714286,0.5495049505,0.1898734177,0.16,0.6026490066,0.1818181818,0.5,0.5882352941,0.5796178344,0.5235792019,0.3710691824,0.0882352941,0.4090909091,0.8,0.6333333333,0.8333333333,0
0.6279069767,0.3076923077,0.5857142857,0.4455445545,0.2025316456,0.14,0.4039735099,0.3636363636,0.3333333333,0.3529411765,0.4331210191,0.3192261185,0.1823899371,0.0882352941,0.3181818182,0.75,0.7,0.8333333333,0
0.5813953488,0.8846153846,0.8428571429,0.6287128713,0.3164556962,0.16,0.6821192053,0.1515151515,0.5833333333,0.7794117647,0.6433121019,0.6130592503,0.6729559748,0.1911764706,0.0909090909,0.15,0.3666666667,0.5333333333,0
0.3953488372,0.5,0.6142857143,0.3217821782,0.2405063291,0.14,0.2450331126,0.5454545455,0.1666666667,0.4264705882,0.2420382166,0.1789600967,0.4402515723,0.1176470588,0,0.1,0.6333333333,0.7666666667,1
0.3953488372,0.3461538462,0.8,0.4356435644,0.2025316456,0.14,0.4701986755,0.303030303,0.4166666667,0.2941176471,0.4777070064,0.3833131802,0.4025157233,0.1617647059,0.4545454545,0.525,0.4333333333,0.5333333333,0
0.3023255814,0.5,0.5,0.103960396,0.0632911392,0.16,0.2781456954,0.5454545455,0.25,0.6176470588,0.2547770701,0.1934703748,0.427672956,0.2794117647,0.3181818182,0.425,0.2333333333,0.3333333333,1
0.7209302326,0.9230769231,0.9142857143,0.3366336634,0.0379746835,0.08,0.9337748344,0,0.9166666667,0.75,0.949044586,0.9262394196,0.9748427673,0.3823529412,0.2272727273,0.225,0.1666666667,0.0666666667,0
0.5581395349,0.6153846154,0.5428571429,0.504950495,0.2911392405,0.08,0.4569536424,0.2727272727,0.3333333333,0.5588235294,0.4777070064,0.3941958888,0.5597484277,0.2058823529,0.1363636364,0.325,0.7333333333,0.6,0
0.2093023256,0.1153846154,0.5142857143,0.2227722772,0.1012658228,0.1,0.2185430464,0.5757575758,0.1666666667,0.1470588235,0.2356687898,0.1571946796,0.1572327044,0.0735294118,0.4545454545,0.6,0.7,0.7333333333,0
0.4651162791,0.5,0.4571428571,0.4851485149,0.3417721519,0.06,0.3245033113,0.3939393939,0.25,0.4558823529,0.3439490446,0.2623941959,0.5157232704,0.1617647059,0.3181818182,0.2,0.6666666667,0.6333333333,0
0.4651162791,0.3846153846,0.5714285714,0.2821782178,0.1012658228,0.06,0.4768211921,0.2424242424,0.4166666667,0.3382352941,0.5350318471,0.4147521161,0.3333333333,0.2352941176,0,0.15,0.6333333333,0.5,0
0.511627907,0.1923076923,0.4,0.103960396,0.0632911392,0.12,0.1059602649,0.8181818182,0.0833333333,0.3088235294,0.1656050955,0.0628778718,0.1446540881,0.2205882353,0,0.325,0.3333333333,0.1333333333,1
0.6279069767,0.7692307692,0.9142857143,0.3366336634,0.1012658228,0.16,0.6490066225,0.1818181818,0.5833333333,0.7352941176,0.5668789809,0.5671100363,0.7169811321,0.2058823529,0.7272727273,0.6,0.3666666667,0.5333333333,0
0.7906976744,0.8846153846,0.8714285714,0.5891089109,0.2151898734,0.06,0.9006622517,0,0.8333333333,0.75,0.949044586,0.8911729141,0.8176100629,0.3823529412,0.1818181818,0.15,0.2666666667,0.0666666667,0
0.2325581395,0.2692307692,0.3428571429,0.1732673267,0.1518987342,0.1,0.0529801325,0.8484848485,0,0.3088235294,0.0891719745,0.0411124547,0.213836478,0.0588235294,0.3181818182,0.275,0.8666666667,0.9,1
0.3255813953,0.2307692308,0.6142857143,0.2772277228,0.1518987342,0.1,0.3245033113,0.4545454545,0.25,0.1911764706,0.3694267516,0.2478839178,0.3081761006,0.1764705882,0.3181818182,0.325,0.3333333333,0.3666666667,0
0.1395348837,0.4615384615,0.3714285714,0.1732673267,0.2151898734,0.08,0.2185430464,0.6060606061,0.1666666667,0.3676470588,0.2420382166,0.1559854897,0.4716981132,0.3088235294,0,0.025,0.1666666667,0.1,0
0.5813953488,0.5769230769,0.6142857143,0.4306930693,0.164556962,0.18,0.4039735099,0.3636363636,0.3333333333,0.5147058824,0.3885350318,0.322853688,0.4905660377,0.0441176471,0.2272727273,0.55,0.7,0.9666666667,0
0.2558139535,0.4230769231,0.8,0.5297029703,0.2911392405,0.16,0.4966887417,0.2727272727,0.4166666667,0.3382352941,0.5286624204,0.4159613059,0.4339622642,0.1764705882,0.0909090909,0.525,0.3666666667,0.4333333333,0
0.511627907,0.5769230769,0.8428571429,0.4504950495,0.1772151899,0.18,0.6158940397,0.1515151515,0.5,0.5,0.6114649682,0.5550181378,0.5283018868,0.1764705882,0.2272727273,0.175,0.4333333333,0.5,0
0.488372093,0.4615384615,0.7,0.2821782178,0.2025316456,0.16,0.2450331126,0.5757575758,0.1666666667,0.4411764706,0.2229299363,0.1729141475,0.3899371069,0.0882352941,0.8181818182,0.5,0.7,0.8,1
0.1395348837,0.4615384615,0.3428571429,0.7326732673,1,1,0.2251655629,0.5757575758,0.1666666667,0.3823529412,0.6751592357,0.1632406288,0.4779874214,0.8823529412,0.0454545455,0.025,0.1666666667,0.1333333333,0
