0,1,2,3,4,5,6,7,class
0.2666666667,0.3218390805,0.3037974684,0.14,0,0,0.5666666667,0.22,0
0.56,0.4137931034,0.3037974684,0.22,0,0,0.5333333333,0.31,0
0.5733333333,0.275862069,0.3924050633,0.15,0,0,0.7,0.26,0
0.3333333333,0.3793103448,0.2911392405,0.17,0,0,0.6333333333,0.42,0
0.4533333333,0.4022988506,0.3797468354,0.26,0,0,0.6333333333,0.27,0
0.52,0.5977011494,0.3544303797,0.56,0,0,0.6,0.22,0
0.6,0.5287356322,0.417721519,0.47,0,0,0.55,0.22,0
0.6533333333,0.5402298851,0.3924050633,0.19,0,0,0.9333333333,0.22,0
0.4133333333,0.5172413793,0.3291139241,0.17,0,0,0.6666666667,0.74,0
0.2533333333,0.2988505747,0.4303797468,0.26,0,0,0.6,0.22,0
0.2666666667,0.367816092,0.4050632911,0.14,0,0,0.6,0.22,0
0.2666666667,0.4367816092,0.4556962025,0.4,0,0,0.5833333333,0.27,0
0.5333333333,0.2643678161,0.3797468354,0.25,0,0,0.6833333333,0.25,0
0.52,0.6666666667,0.3291139241,0.21,0,0,0.65,0.22,0
0.4133333333,0.2988505747,0.3544303797,0.18,0,0,0.6333333333,0.22,0
0.4266666667,0.3563218391,0.3797468354,0.18,0,0,0.65,0.27,0
0.32,0.4482758621,0.3797468354,0.22,0,0,0.65,0.44,0
0.8,0.7471264368,0.0759493671,0.37,0,0,0.6,0.22,1
0.5066666667,0.4597701149,0.417721519,0.4,0,0,0.5833333333,0.22,0
0.2666666667,0.2298850575,0.3670886076,0.12,0,0,0.6333333333,0.54,0
0.12,0.2643678161,0.3291139241,0.34,0,0,0.6666666667,0.72,0
0.4,0.4137931034,0.4936708861,0.15,0,0,0.4166666667,0.22,0
0.56,0.5172413793,0.2278481013,0.52,0,0,0.6166666667,0.31,0
0.1733333333,0.4827586207,0.4683544304,0.16,0,0,0.8,0.28,0
0.7333333333,0.4367816092,0.3924050633,0.08,0,0,0.6833333333,0.22,0
0.3866666667,0.4827586207,0.5063291139,0.13,0,0,0.5666666667,0.22,0
